id,exam_board,subject,topic,year,question_number,question_text,options,correct_answer,difficulty,created_at
29ad521576daa75c,WAEC,Mathematics,Trigonometry,2020,12,Mathematics Trigonometry Question 12: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.453780
0120ad27e3409331,WAEC,Mathematics,Logarithms,2020,13,Mathematics Logarithms Question 13: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.453800
48a47bb09fb0cb4b,WAEC,Mathematics,Set Theory,2020,14,Mathematics Set Theory Question 14: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.453821
8b13126e78a54113,WAEC,Mathematics,Geometry,2020,15,Mathematics Geometry Question 15: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.453841
d1b22ebc53d1e225,WAEC,Mathematics,Probability,2020,16,Mathematics Probability Question 16: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.453871
15162a48bb294d17,WAEC,Mathematics,Logarithms,2020,17,Mathematics Logarithms Question 17: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.453894
2f1f886eeb5f5d85,WAEC,Mathematics,Trigonometry,2020,18,Mathematics Trigonometry Question 18: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.453914
4466b8aa28a9c376,WAEC,Mathematics,Arithmetic,2020,19,Mathematics Arithmetic Question 19: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.453934
e3286f0d3bfd39ae,WAEC,Mathematics,Statistics,2020,20,Mathematics Statistics Question 20: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.453954
77e4c46002c83923,WAEC,Mathematics,Statistics,2020,21,Mathematics Statistics Question 21: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.453974
6fa4c4505e84530e,WAEC,Mathematics,Logarithms,2020,22,Mathematics Logarithms Question 22: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.453993
583423213aef0bce,WAEC,Mathematics,Set Theory,2020,23,Mathematics Set Theory Question 23: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.454012
ebe3082c4d0aebc0,WAEC,Mathematics,Algebra,2020,24,Mathematics Algebra Question 24: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.454031
d57b227b780976b7,WAEC,Mathematics,Matrices,2020,25,Mathematics Matrices Question 25: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.454055
9a7f8ad7d999c94d,WAEC,Mathematics,Algebra,2020,26,Mathematics Algebra Question 26: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.454076
a6b913bbe91cc37b,WAEC,Mathematics,Geometry,2020,27,Mathematics Geometry Question 27: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.454096
e344f51136c2b64c,WAEC,Mathematics,Calculus,2020,28,Mathematics Calculus Question 28: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.454116
fad17ef46c8fd140,WAEC,Mathematics,Logarithms,2020,29,Mathematics Logarithms Question 29: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.454136
66df5deb545ec699,WAEC,Mathematics,Trigonometry,2020,30,Mathematics Trigonometry Question 30: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.454155
9072bf7309aac932,WAEC,Mathematics,Geometry,2021,1,Mathematics Geometry Question 1: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.460981
bce9464f9397edda,WAEC,Mathematics,Logarithms,2021,2,Mathematics Logarithms Question 2: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.461043
ff5f2134014cb4d5,WAEC,Mathematics,Statistics,2021,3,Mathematics Statistics Question 3: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.461066
11c1e8ed1018f8d6,WAEC,Mathematics,Algebra,2021,4,Mathematics Algebra Question 4: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.461087
fa220e6b13f76f2b,WAEC,Mathematics,Probability,2021,5,Mathematics Probability Question 5: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.461107
71522dd5eab21b62,WAEC,Mathematics,Logarithms,2021,6,Mathematics Logarithms Question 6: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.461127
572f1e2ee13e4b27,WAEC,Mathematics,Logarithms,2021,7,Mathematics Logarithms Question 7: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.461147
2856d98ed1d951c7,WAEC,Mathematics,Statistics,2021,8,Mathematics Statistics Question 8: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.461173
89b0accc6d713509,WAEC,Mathematics,Matrices,2021,9,Mathematics Matrices Question 9: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.461195
92a06768bcd771d8,WAEC,Mathematics,Arithmetic,2021,10,Mathematics Arithmetic Question 10: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.461215
2e443bb66a55e6e8,WAEC,Mathematics,Algebra,2021,11,Mathematics Algebra Question 11: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.461234
492f70c9832d7f18,WAEC,Mathematics,Trigonometry,2021,12,Mathematics Trigonometry Question 12: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.461254
842a11b1536d6f67,WAEC,Mathematics,Probability,2021,13,Mathematics Probability Question 13: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.461274
3e1c1dbfdd873438,WAEC,Mathematics,Matrices,2021,14,Mathematics Matrices Question 14: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.461294
e5a26a336a5d0eef,WAEC,Mathematics,Calculus,2021,15,Mathematics Calculus Question 15: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.461313
4a90080fb41f0509,WAEC,Mathematics,Calculus,2021,16,Mathematics Calculus Question 16: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.461332
1e46b4e074bac620,WAEC,Mathematics,Logarithms,2021,17,Mathematics Logarithms Question 17: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.461352
5f74b94af98d6124,WAEC,Mathematics,Logarithms,2021,18,Mathematics Logarithms Question 18: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.461371
617b3010485712a1,WAEC,Mathematics,Set Theory,2021,19,Mathematics Set Theory Question 19: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.461391
6bedbd02b0df68c0,WAEC,Mathematics,Geometry,2021,20,Mathematics Geometry Question 20: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.465862
6682717646cb97f6,WAEC,Mathematics,Logarithms,2021,21,Mathematics Logarithms Question 21: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.465895
e28e59413f024ec8,WAEC,Mathematics,Calculus,2021,22,Mathematics Calculus Question 22: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.466011
b97922e666168c29,WAEC,Mathematics,Set Theory,2021,23,Mathematics Set Theory Question 23: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.466035
68f4b00caf615d2b,WAEC,Mathematics,Arithmetic,2021,24,Mathematics Arithmetic Question 24: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.466055
2e07e93a6dd8d2b4,WAEC,Mathematics,Arithmetic,2021,25,Mathematics Arithmetic Question 25: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.466075
8122c924d8204afe,WAEC,Mathematics,Matrices,2021,26,Mathematics Matrices Question 26: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.466095
4397f4dd756a339d,WAEC,Mathematics,Trigonometry,2021,27,Mathematics Trigonometry Question 27: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.466115
7eb8f81742eba6a3,WAEC,Mathematics,Trigonometry,2021,28,Mathematics Trigonometry Question 28: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.466135
26f128438175f6b4,WAEC,Mathematics,Geometry,2021,29,Mathematics Geometry Question 29: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.466155
f4f74f462f026b3f,WAEC,Mathematics,Trigonometry,2021,30,Mathematics Trigonometry Question 30: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.466185
e7be2fc42174e4e7,WAEC,Mathematics,Matrices,2022,1,Mathematics Matrices Question 1: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.505789
584d8cbdd91aed07,WAEC,Mathematics,Set Theory,2022,2,Mathematics Set Theory Question 2: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.505848
b1514859f86c6cd3,WAEC,Mathematics,Geometry,2022,3,Mathematics Geometry Question 3: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.505870
436bbe2dc5e8f73e,WAEC,Mathematics,Probability,2022,4,Mathematics Probability Question 4: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.505898
8c391f7ea2caebd5,WAEC,Mathematics,Geometry,2022,5,Mathematics Geometry Question 5: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.505919
8bff5cc8ed48e97b,WAEC,Mathematics,Algebra,2022,6,Mathematics Algebra Question 6: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.505943
fee0a559ab1ee5c9,WAEC,Mathematics,Calculus,2022,7,Mathematics Calculus Question 7: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.505963
1300e934ecd26871,WAEC,Mathematics,Probability,2022,8,Mathematics Probability Question 8: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.505983
40fddc51ce0c0ef8,WAEC,Mathematics,Calculus,2022,9,Mathematics Calculus Question 9: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.506002
a3e6fc7408de9084,WAEC,Mathematics,Statistics,2022,10,Mathematics Statistics Question 10: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.506022
41fc3d774bc5781a,WAEC,Mathematics,Algebra,2022,11,Mathematics Algebra Question 11: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.506041
297fe793536e086a,WAEC,Mathematics,Algebra,2022,12,Mathematics Algebra Question 12: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.506067
f5759e24feb163a8,WAEC,Mathematics,Arithmetic,2022,13,Mathematics Arithmetic Question 13: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.506093
9074dad0a7a20e7f,WAEC,Mathematics,Algebra,2022,14,Mathematics Algebra Question 14: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.506114
7cd5a0bcd36f1bcf,WAEC,Mathematics,Arithmetic,2022,15,Mathematics Arithmetic Question 15: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.506135
6951e863ac02bfe4,WAEC,Mathematics,Algebra,2022,16,Mathematics Algebra Question 16: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.506156
80920ad68abb9d46,WAEC,Mathematics,Arithmetic,2022,17,Mathematics Arithmetic Question 17: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.506176
a3dc2157dfcc0814,WAEC,Mathematics,Logarithms,2022,18,Mathematics Logarithms Question 18: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.506196
37cce5d5295786fd,WAEC,Mathematics,Probability,2022,19,Mathematics Probability Question 19: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.506216
b24bc37da4b08875,WAEC,Mathematics,Matrices,2022,20,Mathematics Matrices Question 20: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.506236
8daf428b10830e68,WAEC,Mathematics,Statistics,2022,21,Mathematics Statistics Question 21: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.506256
bf85d0b62ad58273,WAEC,Mathematics,Algebra,2022,22,Mathematics Algebra Question 22: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.506275
eb62e7d6c35aa38d,WAEC,Mathematics,Algebra,2022,23,Mathematics Algebra Question 23: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.506295
b9d4f163ad0d7401,WAEC,Mathematics,Arithmetic,2022,24,Mathematics Arithmetic Question 24: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.506315
6f214ea999132cc7,WAEC,Mathematics,Arithmetic,2022,25,Mathematics Arithmetic Question 25: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.506334
d564e60962e326b1,WAEC,Mathematics,Statistics,2022,26,Mathematics Statistics Question 26: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.506355
55dfa2f80aa973bb,WAEC,Mathematics,Probability,2022,27,Mathematics Probability Question 27: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.506379
6fc2ebd8d1153e19,WAEC,Mathematics,Calculus,2022,28,Mathematics Calculus Question 28: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.506400
aa56e199bfbd77d8,WAEC,Mathematics,Probability,2022,29,Mathematics Probability Question 29: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.506423
eb46b47363e74c33,WAEC,Mathematics,Probability,2022,30,Mathematics Probability Question 30: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.506444
52bc802223e9ab86,WAEC,Mathematics,Geometry,2023,1,Mathematics Geometry Question 1: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.508363
ecb2113322455b28,WAEC,Mathematics,Algebra,2023,2,Mathematics Algebra Question 2: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.508421
763ce5ed38d93cfb,WAEC,Mathematics,Probability,2023,3,Mathematics Probability Question 3: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.508442
58c6d18acf788c86,WAEC,Mathematics,Probability,2023,4,Mathematics Probability Question 4: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.508463
e98a62e64f7f506d,WAEC,Mathematics,Algebra,2023,5,Mathematics Algebra Question 5: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.508482
dd9599d51d896383,WAEC,Mathematics,Matrices,2023,6,Mathematics Matrices Question 6: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.508502
7d67249e0f9990fc,WAEC,Mathematics,Algebra,2023,7,Mathematics Algebra Question 7: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.508521
2bbbc9d525e1daba,WAEC,Mathematics,Trigonometry,2023,8,Mathematics Trigonometry Question 8: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.508540
efa9129c594c4c5f,WAEC,Mathematics,Probability,2023,9,Mathematics Probability Question 9: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.508559
885a182795c29b8a,WAEC,Mathematics,Arithmetic,2023,10,Mathematics Arithmetic Question 10: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.508579
a67802273ff292b5,WAEC,Mathematics,Statistics,2023,11,Mathematics Statistics Question 11: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.508598
fe05efed18bf5d35,WAEC,Mathematics,Set Theory,2023,12,Mathematics Set Theory Question 12: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.508617
e43e5cf90d4ca6d0,WAEC,Mathematics,Algebra,2023,13,Mathematics Algebra Question 13: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.508637
6d91e6554b620b58,WAEC,Mathematics,Trigonometry,2023,14,Mathematics Trigonometry Question 14: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.508656
77a1a2caa3b4eaf3,WAEC,Mathematics,Trigonometry,2023,15,Mathematics Trigonometry Question 15: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.508676
eaa3add05bdbd4a5,WAEC,Mathematics,Matrices,2023,16,Mathematics Matrices Question 16: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.508695
cf6cb6ff43f67db0,WAEC,Mathematics,Trigonometry,2023,17,Mathematics Trigonometry Question 17: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.508714
b346d09aa1e7b5cf,WAEC,Mathematics,Geometry,2023,18,Mathematics Geometry Question 18: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.508742
87a81f323939ee3b,WAEC,Mathematics,Trigonometry,2023,19,Mathematics Trigonometry Question 19: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.508763
5d727f0d9c39b6d7,WAEC,Mathematics,Calculus,2023,20,Mathematics Calculus Question 20: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.508782
a10c0aafd636aca5,WAEC,Mathematics,Set Theory,2023,21,Mathematics Set Theory Question 21: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.508806
4dcddd9d17908ec0,WAEC,Mathematics,Arithmetic,2023,22,Mathematics Arithmetic Question 22: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.508826
